HAGRID#	Family	Genus_species	Common name	Adult mass (g)	Log Mass	Longevity (yrs)	Log Longevity	Pred log long	Pred longevity	Longevity Quotient	Longevity residual	Source (AnAge or Pers comm)	Data origin	Data quality (AnAge)	Cave roost	Cave use sometimes or always	Hibernation	Abs(Median latitude)	Births/yr	Litter size	Prog/yr	Colony Size	Log Col size	Diet	N-TLF	N-TLM	TL-Female (mm)	TL-Male (mm)	TL-FSD	TL-MSD	TL dimorph
2037	Vespertilionidae	Lasiurus_cinereus	Hoary bat	24.0	1.380	14	1.146	0.819	6.588	2.125	0.327	424	wild	acceptable	never	No	No	40	1	2.02	2.02	1	0.000	animal	7	13	138.57	135.00	4.79	5.77	-0.038
1992	Phyllostomidae	Leptonycteris_curasoae	Southern long-nosed bat	25.0	1.398	10.1	1.004	0.822	6.638	1.521	0.182	974	wild	acceptable	always	Yes	No	20	1	1	1	2000	3.301	plant	70	81	78.87	80.94	4.57	3.78	0.037
1976	Megadermatidae	Macroderma_gigas	Australian false vampire bat	150.0	2.176	22.6	1.354	0.967	9.277	2.436	0.387	671	captivity	acceptable	always	Yes	No	22	1	1	1	50	1.699	animal	9	7	123.89	118.57	3.98	5.38	-0.063
1993	Phyllostomidae	Macrotus_californicus	California leaf-nosed bat	11.6	1.064	17	1.230	0.760	5.751	2.956	0.471	671	captivity	acceptable	always	Yes	No	25	1	1	1	50	1.699	animal	82	133	96.27	92.77	4.81	4.93	-0.053
1994	Phyllostomidae	Macrotus_waterhousii	Waterhouse's leaf-nosed bat	16.0	1.204	10.4	1.017	0.786	6.107	1.703	0.231	513	wild	acceptable	always	Yes	No	22	1	1	1	200	2.301	animal	153	178	96.63	93.58	5.09	5.87	-0.046
1977	Megadermatidae	Megaderma_lyra	Greater false vampire bat	38.6	1.587	14	1.146	0.857	7.199	1.945	0.289	424	wild	acceptable	sometimes	Yes	No	20	1	1	1	25	1.398	animal	3	5	85.33	86.60	3.51	3.91	0.021
1978	Vespertilionidae	Miniopterus_schreibersii	Schreibers's long-fingered bat	13.0	1.114	22	1.342	0.769	5.875	3.745	0.573	424	wild	acceptable	sometimes	Yes	Yes	30	1	1	1	4040	3.606	animal	137	84	111.06	108.61	8.40	12.27	-0.032
1979	Molossidae	Molossus_molossus	Pallas's mastiff bat	14.0	1.146	5.6	0.748	0.775	5.957	0.940	-0.027	1283	wild	acceptable	never	No	No	0	2	1	2	100	2.000	animal	616	365	107.97	112.38	14.60	15.37	0.058
1980	Molossidae	Mormopterus_planiceps	Southern free-tailed bat	8.8	0.944	15	1.176	0.737	5.462	2.746	0.439		unknown	low	never	No	No	25	1	1	1	100	2.000	animal	6	0	89.50		2.59		
2038	Vespertilionidae	Myotis_bechsteinii	Bechstein's bat	10.5	1.021	21	1.322	0.752	5.645	3.720	0.571	970	wild	acceptable	never	No	Yes	42	1	1	1	15	1.176	animal	1	2	95.00	94.50		3.54	-0.008
2039	Vespertilionidae	Myotis_blythii	Lesser mouse-eared bat	23.0	1.362	33	1.519	0.815	6.536	5.049	0.703	424	wild	acceptable	sometimes	Yes	Yes	35	1	1	1	200	2.301	animal	1	7	119.00	125.43	0.00	6.80	0.076
2040	Vespertilionidae	Myotis_brandtii	Brandt's bat	7.0	0.845	41	1.613	0.719	5.233	7.834	0.894	424	wild	acceptable	sometimes	Yes	Yes	50	1	1	1	30	1.477	animal	11	5	81.64	79.60	7.51	3.36	-0.036
2041	Vespertilionidae	Myotis_dasycneme	Pond bat	15.0	1.176	20.5	1.312	0.781	6.034	3.397	0.531	424	wild	acceptable	sometimes	Yes	Yes	55	1	1	1	200	2.301	animal	0	0					
2042	Vespertilionidae	Myotis_daubentonii	Daubenton's bat	8.5	0.929	28	1.447	0.735	5.427	5.160	0.713	424	wild	acceptable	sometimes	Yes	Yes	45	1	1.25	1.25	40	1.602	animal	3	5	80.67	82.20	9.87	3.27	0.027
2043	Vespertilionidae	Myotis_emarginatus	Geoffroy's bat	11.0	1.041	22.7	1.356	0.755	5.694	3.986	0.601	424	wild	acceptable	sometimes	Yes	Yes	40	1	1	1	100	2.000	animal	3	1	87.33	91.00	1.15		0.059
2044	Vespertilionidae	Myotis_evotis	Western long-eared myotis	7.4	0.869	22	1.342	0.723	5.288	4.160	0.619	424	wild	acceptable	sometimes	Yes	Yes	40	1	1	1	20	1.301	animal	22	21	90.59	90.62	3.97	5.37	0.000
2045	Vespertilionidae	Myotis_grisescens	Gray myotis	9.3	0.966	16.5	1.217	0.741	5.513	2.993	0.476	1	wild	acceptable	always	Yes	Yes	35	1	1	1	1000	3.000	animal	34	47	97.53	95.00	3.70	3.64	-0.038
2046	Vespertilionidae	Myotis_keenii	Keen's myotis	7.4	0.869	19	1.279	0.723	5.288	3.593	0.555	424	wild	acceptable	sometimes	Yes	Yes	40	1	1	1	15	1.176	animal	51	84	90.12	88.23	27.07	25.53	-0.031
2047	Vespertilionidae	Myotis_leibii	Eastern small-footed myotis	5.6	0.748	12	1.079	0.701	5.020	2.391	0.379	424	wild	acceptable	sometimes	Yes	Yes	38	1	1	1	20	1.301	animal	6	12	82.83	78.83	3.06	2.44	-0.071
2048	Vespertilionidae	Myotis_lucifugus	Little brown bat	10.0	1.000	34	1.531	0.748	5.594	6.078	0.784	424	wild	acceptable	sometimes	Yes	Yes	45	1	1	1	500	2.699	animal	294	233	89.57	87.45	5.55	6.64	-0.035
2049	Vespertilionidae	Myotis_myotis	Mouse-eared bat	28.6	1.456	37.1	1.569	0.833	6.805	5.452	0.737	970	wild	acceptable	sometimes	Yes	Yes	40	1	1	1	500	2.699	animal	96	198	123.80	124.14	4.84	4.46	0.004
2050	Vespertilionidae	Myotis_mystacinus	Whiskered bat	5.3	0.724	24	1.380	0.696	4.968	4.831	0.684	424	wild	acceptable	sometimes	Yes	Yes	50	1	1.09	1.09	35	1.544	animal	15	4	76.47	66.25	6.52	17.93	-0.207
2051	Vespertilionidae	Myotis_nattereri	Natterer's bat	7.5	0.875	23.7	1.375	0.724	5.301	4.471	0.650	970	wild	acceptable	sometimes	Yes	Yes	42	1	1	1	30	1.477	animal	2	2	90.00	86.50	1.41	0.71	-0.057
2052	Vespertilionidae	Myotis_nigricans	Black myotis	4.2	0.623	7	0.845	0.677	4.757	1.472	0.168	1	wild	acceptable	never	No	No	0	3	1	3	100	2.000	animal	38	34	79.45	79.00	4.44	3.35	-0.008
5000	Vespertilionidae	Myotis_septentrionalis	Northern myotis	7.0	0.623	19	0.845	0.677	4.757	3.994	0.168	A. Kurta	wild	acceptable	sometimes	Yes	Yes	44	1	1	1	40	1.602	animal	24	59	87.17	85.05	5.24	3.80	-0.035
2053	Vespertilionidae	Myotis_sodalis	Indiana bat	7.7	0.886	20	1.301	0.727	5.327	3.754	0.575	424	wild	acceptable	sometimes	Yes	Yes	38	1	1	1	20	1.301	animal	63	101	82.28	84.40	12.32	10.33	0.037
2054	Vespertilionidae	Myotis_thysanodes	Fringed myotis	6.0	0.778	18.3	1.262	0.706	5.085	3.599	0.556	1	wild	acceptable	sometimes	Yes	Yes	30	1	1	1	200	2.301	animal	46	27	92.39	88.41	5.14	4.43	-0.064
2055	Vespertilionidae	Myotis_velifer	Cave myotis	10.1	1.004	11.3	1.053	0.749	5.604	2.016	0.305	424	wild	acceptable	always	Yes	Yes	20	1	1	1	500	2.699	animal	92	49	99.33	97.08	4.33	7.15	-0.033
2056	Vespertilionidae	Myotis_vivesi	Fish-eating bat	25.0	1.398	10	1.000	0.822	6.638	1.506	0.178	1	unknown	acceptable	sometimes	Yes	No	25	1	1	1	1000	3.000	animal	53	31	143.85	145.87	11.04	7.64	0.020
2057	Vespertilionidae	Myotis_volans	Long-legged myotis	7.0	0.845	21	1.322	0.719	5.233	4.013	0.603	424	wild	acceptable	sometimes	Yes	Yes	40	1	1	1	200	2.301	animal	50	50	96.96	95.16	5.02	5.10	-0.027
2058	Vespertilionidae	Myotis_yumanensis	Yuma myotis	6.3	0.796	14	1.146	0.710	5.124	2.732	0.437	984	wild	acceptable	sometimes	Yes	Yes	34	1	1	1	1000	3.000	animal	135	80	82.72	79.75	5.02	4.57	-0.053
1983	Mystacinidae	Mystacina_tuberculata	New Zealand lesser short-tailed bat	23.5	1.371	7.6	0.881	0.817	6.562	1.158	0.064	671	captivity	acceptable	sometimes	Yes	Yes	38	1	1	1	100	2.000	animal	1	0	74.00		0.00		
1984	Noctilionidae	Noctilio_leporinus	Greater bulldog bat	50.0	1.699	11.8	1.072	0.878	7.556	1.562	0.194	671	captivity	acceptable	sometimes	Yes	No	0	1	1	1	10	1.000	animal	68	54	120.93	125.06	6.13	6.90	0.048
2059	Vespertilionidae	Nyctalus_leisleri	Lesser noctule	16.0	1.204	16	1.204	0.786	6.107	2.620	0.418	424	wild	acceptable	sometimes	Yes	Yes	50	1	1.6	1.6	30	1.477	animal	0	1		96.90			
2060	Vespertilionidae	Nyctalus_noctula	Noctule	27.8	1.443	12	1.079	0.831	6.769	1.773	0.249	424	wild	acceptable	never	No	Yes	48	1	1.21	1.21	20	1.301	animal	2	2	113.00	119.00	11.31	2.83	0.075
2061	Vespertilionidae	Nycticeius_humeralis	Evening bat	9.8	0.989	6	0.778	0.746	5.567	1.078	0.032	424	wild	acceptable	never	No	No	30	1	2.07	2.07	100	2.000	animal	19	8	97.00	95.13	3.53	2.85	-0.028
2062	Vespertilionidae	Perimyotis_subflavus	Eastern pipistrelle	7.5	0.875	14.8	1.170	0.724	5.301	2.792	0.446	1	wild	acceptable	sometimes	Yes	Yes	32	1	1.99	1.99	10	1.000	animal	152	202	84.19	80.45	5.34	4.74	-0.066
1995	Phyllostomidae	Phyllostomus_discolor	Pale spear-nosed bat	43.4	1.637	15	1.176	0.867	7.359	2.038	0.309	S. Vernes	captivity	acceptable	sometimes	Yes	No	10	2	1	2	200	2.301	plant	189	227	99.37	98.85	5.50	7.13	-0.008
1996	Phyllostomidae	Phyllostomus_hastatus	Greater spear-nosed bat	81.0	1.908	22	1.342	0.917	8.268	2.661	0.425	G. Wilkinson/G. McCracken	wild	acceptable	sometimes	Yes	No	0	1	1	1	100	2.000	animal	216	224	132.17	135.62	9.41	9.35	0.037
2063	Vespertilionidae	Pipistrellus_kuhlii	Kuhl's pipistrelle	6.0	0.778	8	0.903	0.706	5.085	1.573	0.197	424	wild	acceptable	never	No	No	10	1	1.4	1.4	12	1.079	animal	122	42	84.44	84.21	4.94	4.00	-0.004
2064	Vespertilionidae	Pipistrellus_nathusii	Nathusius's pipistrelle	10.0	1.000	11	1.041	0.748	5.594	1.966	0.294	424	wild	acceptable	never	No	Yes	48	1	1.67	1.67	10	1.000	animal	1	0	50.00				
2065	Vespertilionidae	Pipistrellus_pipistrellus	Common pipistrelle	5.0	0.699	16.6	1.220	0.691	4.914	3.378	0.529	970	wild	acceptable	sometimes	Yes	Yes	50	1	2	2	200	2.301	animal	38	15	79.60	76.80	5.39	6.30	-0.052
1997	Phyllostomidae	Platyrrhinus_lineatus	White-lined broad-nosed bat	22.0	1.342	13	1.114	0.812	6.482	2.006	0.302	671	captivity	acceptable	sometimes	Yes	No	15	2	1	2	13	1.114	plant	69	70	69.60	68.44	4.62	3.39	-0.024
